date,daily_open_price,daily_close_price,daily_change,daily_min_price,daily_max_price,daily_avg_price,current_max_price,price_ratio,MA_30,MA_60,MA_90,MA_120,MA_150,MA_180,MA30_ratio,MA60_ratio,MA90_ratio,MA120_ratio,MA150_ratio,MA180_ratio,value_classification,value
30/11/2020,18198.58973,19702.07119,0.082615273,18198.58973,19859.08771,19028.83872,19028.83872,0,16521.61618,14196.25165,12999.88583,12658.58933,12072.7811,11626.35399,-0.131759094,-0.253961219,-0.316832413,-0.334768163,-0.365553449,-0.389014003,Extreme Greed,88
01/12/2020,19702.07126,18791.67784,-0.046208006,18235.23993,19910.33212,19072.78602,19072.78602,0,16698.62713,14338.49514,13082.96816,12724.00089,12139.12628,11678.57215,-0.124478872,-0.248222303,-0.314050493,-0.332871408,-0.363536808,-0.387683995,Extreme Greed,95
02/12/2020,18791.67858,19219.19377,0.02275024,18353.8747,19344.84678,18849.36074,19072.78602,-0.01171435,16875.81243,14476.63945,13173.17025,12787.57722,12204.50424,11729.23854,-0.104701074,-0.231982471,-0.301134376,-0.321590934,-0.352524236,-0.377738126,Extreme Greed,92
03/12/2020,19219.19173,19440.59238,0.011519769,18918.96724,19617.69009,19268.32867,19268.32867,0,17061.91629,14620.72891,13272.42743,12852.75909,12271.53788,11782.77375,-0.114509795,-0.241204094,-0.311179103,-0.332959318,-0.363123907,-0.388490099,Extreme Greed,92
04/12/2020,19440.58874,18654.64651,-0.040427903,18581.62387,19536.13266,19058.87826,19268.32867,-0.01087019,17233.66805,14759.67475,13370.44984,12913.75471,12336.60478,11835.27878,-0.095766927,-0.225574845,-0.298466066,-0.322428397,-0.352710868,-0.379014934,Extreme Greed,92
05/12/2020,18654.64651,19160.23136,0.027102355,18508.38498,19180.55536,18844.47017,19268.32867,-0.021997678,17364.17577,14895.88574,13466.62121,12973.87706,12399.83699,11885.91641,-0.078553251,-0.209535444,-0.285380746,-0.31152869,-0.341990681,-0.369262372,Extreme Greed,93
06/12/2020,19160.09867,19384.88362,0.011731931,18885.05427,19432.4374,19158.74584,19268.32867,-0.0056872,17483.54007,15038.20773,13566.64266,13036.30302,12465.43943,11938.32169,-0.087438175,-0.215073478,-0.291882528,-0.319563862,-0.349360363,-0.376873529,Extreme Greed,95
07/12/2020,19384.8827,19192.50828,-0.009923941,19192.50828,19392.13306,19292.32067,19292.32067,0,17624.01057,15182.69492,13667.99538,13099.87025,12532.55338,11990.806,-0.086475346,-0.213018735,-0.291531817,-0.320980069,-0.350386426,-0.378467412,Extreme Greed,94
08/12/2020,19182.24743,18318.24413,-0.045041818,18229.80739,19313.94169,18771.87454,19292.32067,-0.026976855,17743.02252,15314.60531,13763.5239,13157.81928,12596.06477,12042.18542,-0.054808166,-0.184172828,-0.266800773,-0.299067376,-0.328992704,-0.358498513,Extreme Greed,95
09/12/2020,18318.24278,18548.44774,0.012566978,17670.99593,18635.1396,18153.06776,19292.32067,-0.059052145,17836.31299,15429.36482,13850.11206,13212.89804,12655.37956,12090.87553,-0.017449104,-0.150040918,-0.237037384,-0.272139662,-0.302851743,-0.333948636,Extreme Greed,86
10/12/2020,18548.44798,18257.52421,-0.015684535,17936.3559,18555.63083,18245.99337,19292.32067,-0.05423543,17935.35097,15544.00507,13938.25681,13269.99967,12715.19148,12139.90117,-0.017025239,-0.148086665,-0.236092192,-0.272717062,-0.303124186,-0.334653865,Extreme Greed,94
11/12/2020,18257.52574,18043.56754,-0.011718904,17601.80638,18282.86755,17942.33696,19292.32067,-0.069975185,18012.20998,15651.79876,14022.25498,13323.37023,12773.47118,12187.54514,0.00389431,-0.127661085,-0.218482241,-0.257433953,-0.288082082,-0.320738142,Extreme Greed,89
12/12/2020,18043.56193,18818.32193,0.042938307,18043.56193,18934.24301,18488.90247,19292.32067,-0.041644456,18097.5714,15769.23525,14112.09708,13379.42285,12835.23927,12239.08773,-0.021165728,-0.147097278,-0.236726079,-0.276353863,-0.305786847,-0.338030597,Extreme Greed,90
13/12/2020,18818.32315,19176.09765,0.019012029,18735.94383,19420.01017,19077.977,19292.32067,-0.01111031,18192.50855,15896.99393,14207.30917,13439.50092,12901.52298,12292.39402,-0.046413121,-0.166735869,-0.255303161,-0.295548951,-0.323747849,-0.355676232,Extreme Greed,91
14/12/2020,19176.09764,19272.30334,0.005016959,19013.72895,19347.07475,19180.40185,19292.32067,-0.005801211,18297.50815,16026.03469,14300.51283,13500.8145,12968.46207,12346.70654,-0.046031033,-0.164457824,-0.254420583,-0.296114096,-0.323869115,-0.356285304,Extreme Greed,95
15/12/2020,19272.30334,19444.97869,0.008959767,19077.80192,19565.40453,19321.60322,19321.60322,0,18409.40698,16158.23649,14394.2137,13560.80445,13036.15325,12401.93145,-0.047211209,-0.163721752,-0.255019703,-0.298153249,-0.325306855,-0.358131346,Extreme Greed,91
16/12/2020,19444.97837,21341.67492,0.097541716,19318.97739,21532.36403,20425.67071,20425.67071,0,18544.10304,16309.61292,14499.92939,13630.02311,13111.15927,12463.57765,-0.092117791,-0.20151396,-0.290112447,-0.33270132,-0.358103856,-0.389808157,Extreme Greed,92
17/12/2020,21341.67493,22802.95726,0.068470836,21223.0461,23725.99378,22474.51994,22474.51994,0,18719.82037,16493.5717,14628.14922,13718.74009,13199.70188,12536.74533,-0.167064728,-0.26612129,-0.349122951,-0.389586958,-0.412681476,-0.442179617,Extreme Greed,92
18/12/2020,22802.95642,23130.2981,0.01435523,22385.73882,23274.0063,22829.87256,22829.87256,0,18882.04244,16680.43303,14759.19132,13810.73441,13289.87552,12611.6357,-0.172923879,-0.269359346,-0.353514073,-0.395058629,-0.417873425,-0.447581861,Extreme Greed,95
19/12/2020,23130.29816,23828.9045,0.030203084,22791.63055,24159.33004,23475.48029,23475.48029,0,19071.96125,16873.91883,14898.45171,13908.90251,13383.49541,12689.1582,-0.187579508,-0.281210922,-0.365361154,-0.407513613,-0.429894714,-0.459471838,Extreme Greed,93
20/12/2020,23828.90342,23454.79205,-0.015699899,23089.65448,24239.13431,23664.3944,23664.3944,0,19251.31086,17058.98431,15042.9889,14009.94435,13477.46774,12766.99266,-0.186486223,-0.279128634,-0.364319718,-0.407973679,-0.430474851,-0.460497808,Extreme Greed,92
21/12/2020,23454.79285,22714.22539,-0.031574249,22075.05136,24078.52204,23076.7867,23664.3944,-0.024830878,19397.16254,17227.64794,15183.01218,14105.37112,13567.55069,12842.72309,-0.159451323,-0.253464177,-0.342065584,-0.388763639,-0.412069329,-0.443478711,Extreme Greed,92
22/12/2020,22714.22504,23800.16002,0.047808586,22370.63861,23813.98161,23092.31011,23664.3944,-0.024174897,19560.68681,17397.74313,15324.60759,14200.15017,13657.19402,12920.01818,-0.152935037,-0.246600143,-0.336376157,-0.385070177,-0.408582599,-0.440505601,Extreme Greed,88
23/12/2020,23800.15981,23216.32977,-0.024530509,22700.01555,24077.29209,23388.65382,23664.3944,-0.011652129,19727.99482,17570.38411,15467.7877,14299.61981,13747.06222,12998.99897,-0.15651431,-0.248764625,-0.338662763,-0.388608685,-0.412233713,-0.444217736,Extreme Greed,93
24/12/2020,23216.3323,23728.42428,0.022057402,22732.8663,23777.25134,23255.05882,23664.3944,-0.01729753,19878.24582,17739.09603,15607.65246,14398.40944,13830.99908,13078.08502,-0.145207674,-0.237194102,-0.328849151,-0.38084829,-0.405247728,-0.437624083,Extreme Greed,86
25/12/2020,23728.42281,24716.88416,0.041657271,23431.08862,24770.64632,24100.86747,24100.86747,0,20048.10437,17923.71192,15756.08633,14504.48937,13918.85445,13161.6093,-0.168158391,-0.256304283,-0.346244016,-0.39817563,-0.42247496,-0.45389479,Extreme Greed,94
26/12/2020,24716.88512,26446.65041,0.069983142,24509.47732,26761.07167,25635.27449,25635.27449,0,20316.8258,18127.28974,15921.88947,14622.94105,14015.69529,13253.31887,-0.207466032,-0.292877096,-0.378907003,-0.429577356,-0.453265254,-0.483004605,Extreme Greed,93
27/12/2020,26446.65882,26253.13386,-0.007317558,25792.72279,28280.92022,27036.8215,27036.8215,0,20651.60716,18354.76962,16101.99269,14752.25038,14122.404,13352.77023,-0.236167345,-0.321119547,-0.404442098,-0.454364472,-0.477660346,-0.506126479,Extreme Greed,91
28/12/2020,26253.13402,27041.23882,0.030019456,26135.71935,27403.52379,26769.62157,27036.8215,-0.009882816,20964.07759,18579.13375,16279.90416,14878.65963,14226.07869,13450.38648,-0.216870603,-0.305962032,-0.391851539,-0.444196117,-0.468573784,-0.497550369,Extreme Greed,92
29/12/2020,27041.23933,27338.44558,0.010990852,25912.61365,27363.20956,26637.9116,27036.8215,-0.014754319,21253.97101,18799.73046,16456.26253,15003.27629,14326.67607,13547.75886,-0.202115717,-0.294249086,-0.382223998,-0.4367698,-0.462169697,-0.491410623,Extreme Greed,91
